title,company,location,work_type,level,compensation,link,id,scraped_date
Staff Machine Learning Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/staff-machine-learning-engineer-ai-product-lab/4438582,4438582,2026-02-04
Senior Machine Learning Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/senior-machine-learning-engineer-ai-platform/7472570,7472570,2026-02-04
Senior Software Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/senior-software-engineer-ai-platform/7593375,7593375,2026-02-04
Principal AI Developer Technology Engineer,NVIDIA,2 Locations,In-Office or Remote,Expert/Leader,,https://builtin.com/job/principal-ai-developer-technology-engineer/8314040,8314040,2026-02-04
AI Developer Technology Engineer,NVIDIA,2 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/ai-developer-technology-engineer/8314056,8314056,2026-02-04
AI Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8273513,8273513,2026-02-04
Senior AI Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer-libra-legal-ai-assistant/8276358,8276358,2026-02-04
(Senior) AI Engineer (m/f/d),Flip (getflip.com),30 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-m-f-d/7203472,7203472,2026-02-04
Customer AI Engineer,telli,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/customer-engineer-ai/7643852,7643852,2026-02-04
AI Engineer,Flank,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/ai-engineer/7132625,7132625,2026-02-04
Applied AI Engineer,boam,4 Locations,In-Office,Mid level,,https://builtin.com/job/applied-ai-engineer/8249839,8249839,2026-02-04
"Senior AI Engineer, Device Intelligence (m/f/d)",Danaher Corporation,DEU,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-device-intelligence-m-f-d/8337222,8337222,2026-02-04
"Senior AI Engineer, Device Intelligence (m/f/d)",Beckman Coulter Diagnostics,DEU,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-device-intelligence-m-f-d/8336059,8336059,2026-02-04
Senior AI Engineer,RepRisk,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/7595940,7595940,2026-02-04
"Staff Fullstack Engineer (Python/Vue.js), AI Engineering: Duo Chat",GitLab,31 Locations,Remote,Mid level,,https://builtin.com/job/staff-fullstack-engineer-python-vue-js-ai-engineering-duo-chat/7374624,7374624,2026-02-04
Senior AI Engineer,QIC Digital Hub,6 Locations,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7409635,7409635,2026-02-04
AI Engineer,QuantCo,28 Locations,Hybrid,Mid level,,https://builtin.com/job/ai-engineer/7208514,7208514,2026-02-04
Senior AI Engineer,Horizons,28 Locations,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7906345,7906345,2026-02-04
Senior AI Engineer,Bluefish,"Berlin, DEU",In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7825632,7825632,2026-02-04
Staff AI Engineer,Bluefish,"Berlin, DEU",In-Office or Remote,Senior level,,https://builtin.com/job/staff-ai-engineer/7828454,7828454,2026-02-04
Junior AI Engineer,Nelly Solutions,"Berlin, DEU",Hybrid,Junior,,https://builtin.com/job/junior-ai-engineer/8057435,8057435,2026-02-04
AI Engineer,Counsel Group Frankfurt,Germany,Remote,Junior,,https://builtin.com/job/ai-engineer/8305325,8305325,2026-02-04
AI Engineer,Knowunity,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/ai-engineer/7525829,7525829,2026-02-04
Full Stack AI Engineer,Xsolla,2 Locations,Hybrid,Junior,,https://builtin.com/job/full-stack-ai-engineer/7521540,7521540,2026-02-04
AI Engineer,G2i,28 Locations,,Mid level,80K-120K Annually,https://builtin.com/job/ai-engineer/6952071,6952071,2026-02-04
Senior HPC and AI Networking Performance Research and Analysis Engineer,NVIDIA,3 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-hpc-and-ai-networking-performance-research-and-analysis-engineer/8330402,8330402,2026-02-04
Full Stack Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,2 Locations,In-Office,Mid level,,https://builtin.com/job/full-stack-engineer-libra-legal-ai-assistant-m-f-d/7798691,7798691,2026-02-04
Automation Engineer - AI Insights (m/f/d),Statista,2 Locations,In-Office,Mid level,,https://builtin.com/job/automation-engineer-ai-insights-m-f-d/7038109,7038109,2026-02-04
Senior Site Reliability Engineer - AI Platform,N26,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-site-reliability-engineer-ai-platform/8386931,8386931,2026-02-04
"Software Engineer, AI (Python)",G2i,206 Locations,In-Office or Remote,Mid level,30-70 Hourly,https://builtin.com/job/software-engineer-ai-python/7980819,7980819,2026-02-04
